current_club_name,Sum of Total Assist,Sum of Total Goals,Sum of Total Red Card,Sum of Total Yellow card
PAS Lamia 1964,219,328,14,833
KAS Eupen,283,328,14,652
Torino FC,284,326,12,576
US Sassuolo,239,326,15,579
Panathinaikos Athens,258,325,12,749
Real Valladolid CF,236,324,8,603
Oud-Heverlee Leuven,206,321,13,435
Sparta Rotterdam,314,316,17,555
SÃ¶nderjyskE,257,315,8,564
Motherwell FC,292,312,15,581
Nottingham Forest,185,312,17,587
RC Strasbourg Alsace,218,312,17,465
Granada CF,190,310,5,383
Apollon Smyrnis,198,308,15,763
Twente Enschede FC,221,308,11,386
Genoa CFC,202,306,18,731
Aberdeen FC,253,305,13,492
Montpellier HSC,208,304,25,474
Asteras Tripolis,205,304,10,605
Randers FC,232,303,13,419
CÃ¡diz CF,179,302,7,488
Dundee FC,262,301,12,478
Rayo Vallecano,179,299,15,595
VfB Stuttgart,205,299,8,374
Arsenal FC,254,298,15,450
Stade Brestois 29,190,298,20,335
FK Rostov,245,296,4,444
CD Santa Clara,262,295,22,741
ADO Den Haag,222,292,9,383
Viborg FF,216,292,5,319
AE Larisa,191,292,18,896
Moreirense FC,200,290,22,763
OFI Crete FC,169,289,10,723
FC Emmen,181,283,9,361
Odense Boldklub,186,280,2,335
Aalborg BK,221,278,6,433
Hatayspor,261,277,11,474
KV Kortrijk,198,276,13,545
KV Mechelen,268,275,27,462
AC Horsens,130,274,7,247
Elche CF,228,269,17,536
Rio Ave FC,189,267,18,610
MKE AnkaragÃ¼cÃ¼,203,267,11,600
RSC Charleroi,209,266,10,454
SD Eibar,184,265,12,590
Angers SCO,182,265,17,445
1.FC Union Berlin,288,262,6,477
APO Levadiakos,193,257,14,775
Atromitos Athens,215,256,14,737
Sint-Truidense VV,172,254,13,354
FC FamalicÃ£o,190,249,19,607
KV Oostende,206,248,17,472
NEC Nijmegen,179,248,10,276
Lyngby BK,173,248,5,373
AFC Bournemouth,235,246,9,410
FC Groningen,226,244,11,295
Akhmat Grozny,203,240,11,595
Vitesse Arnhem,190,239,8,368
Genclerbirligi Ankara,168,237,20,500
Arsenal Tula,208,237,6,580
Burnley FC,194,236,4,439
PEC Zwolle,141,232,17,359
FC Sochi,214,232,13,401
Gaziantep FK,215,232,15,594
ESTAC Troyes,166,232,14,406
OGC Nice,218,231,12,417
AZ Alkmaar,161,230,10,301
Fortuna Sittard,181,229,11,365
PAS Giannina,161,227,5,524
CSKA Moscow,217,225,6,363
Volos NPS,168,225,9,470
Benevento Calcio,133,223,9,379
FC Girondins Bordeaux,238,223,18,481
Dundee United FC,187,222,7,408
RKC Waalwijk,194,221,10,311
Ionikos Nikeas,142,221,11,463
GD Chaves,237,220,16,501
Spezia Calcio,199,219,14,511
Deportivo AlavÃ©s,155,219,11,647
St. Mirren FC,194,218,18,398
FC Nordsjaelland,192,217,8,298
Giresunspor,167,215,11,319
FK Oleksandriya,154,214,6,534
Leeds United,199,212,11,303
AC Monza,133,211,16,428
SK Dnipro-1,135,210,8,339
Norwich City,129,210,6,280
Brentford FC,128,209,6,334
RCD Mallorca,146,206,13,456
SC Cambuur Leeuwarden,147,205,8,181
Royal Excel Mouscron (-2022),123,203,11,337
