player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Robert Lewandowski,bundesliga,first_tier,domestic_league,21,0,238,43
Lionel Messi,laliga,first_tier,domestic_league,27,0,226,107
Luis Suárez,laliga,first_tier,domestic_league,60,0,186,81
Harry Kane,premier-league,first_tier,domestic_league,32,0,180,45
Ciro Immobile,serie-a,first_tier,domestic_league,35,2,167,44
Karim Benzema,laliga,first_tier,domestic_league,4,0,143,70
Kylian Mbappé,ligue-1,first_tier,domestic_league,26,1,135,58
Cristiano Ronaldo,laliga,first_tier,domestic_league,11,1,134,39
Jamie Vardy,premier-league,first_tier,domestic_league,26,2,133,43
Sergio Agüero,premier-league,first_tier,domestic_league,15,1,132,32
Edinson Cavani,ligue-1,first_tier,domestic_league,17,0,122,24
Antoine Griezmann,laliga,first_tier,domestic_league,35,1,118,48
Mohamed Salah,premier-league,first_tier,domestic_league,4,0,118,49
Iago Aspas,laliga,first_tier,domestic_league,56,0,118,42
Wissam Ben Yedder,ligue-1,first_tier,domestic_league,14,0,113,36
Sadio Mané,premier-league,first_tier,domestic_league,31,2,111,45
Jonas,liga-portugal-bwin,first_tier,domestic_league,17,1,108,31
Luuk de Jong,eredivisie,first_tier,domestic_league,12,0,108,48
Gonzalo Higuaín,serie-a,first_tier,domestic_league,18,1,108,20
Paulo Dybala,serie-a,first_tier,domestic_league,20,0,107,56
Edin Dzeko,serie-a,first_tier,domestic_league,33,1,107,47
Artem Dzyuba,premier-liga,first_tier,domestic_league,18,0,107,59
Fabio Quagliarella,serie-a,first_tier,domestic_league,16,0,106,27
Andrea Belotti,serie-a,first_tier,domestic_league,28,0,106,27
Heung-min Son,premier-league,first_tier,domestic_league,8,3,103,56
Alexandre Lacazette,ligue-1,first_tier,domestic_league,17,0,103,19
Duván Zapata,serie-a,first_tier,domestic_league,22,0,103,43
Dries Mertens,serie-a,first_tier,domestic_league,31,1,102,57
Mauro Icardi,serie-a,first_tier,domestic_league,8,0,102,24
Gerard Moreno,laliga,first_tier,domestic_league,31,0,100,28
Fedor Smolov,premier-liga,first_tier,domestic_league,21,0,99,33
Raheem Sterling,premier-league,first_tier,domestic_league,31,0,98,55
Steven Berghuis,eredivisie,first_tier,domestic_league,28,1,98,78
Domenico Berardi,serie-a,first_tier,domestic_league,68,5,97,73
Timo Werner,bundesliga,first_tier,domestic_league,13,0,96,39
Romelu Lukaku,premier-league,first_tier,domestic_league,17,0,89,26
Andrej Kramaric,bundesliga,first_tier,domestic_league,13,0,88,43
Lorenzo Insigne,serie-a,first_tier,domestic_league,19,2,88,57
Thomas Müller,bundesliga,first_tier,domestic_league,15,0,86,132
Bryan Linssen,eredivisie,first_tier,domestic_league,37,1,86,39
Pierre-Emerick Aubameyang,bundesliga,first_tier,domestic_league,13,0,85,18
Andy Delort,ligue-1,first_tier,domestic_league,26,0,84,30
Riyad Mahrez,premier-league,first_tier,domestic_league,9,0,82,63
Edin Visca,super-lig,first_tier,domestic_league,19,0,82,83
Roberto Firmino,premier-league,first_tier,domestic_league,12,0,82,51
Leigh Griffiths,scottish-premiership,first_tier,domestic_league,17,0,82,26
Cristiano Ronaldo,serie-a,first_tier,domestic_league,10,0,81,16
Sardar Azmoun,premier-liga,first_tier,domestic_league,36,2,81,33
Serge Gnabry,bundesliga,first_tier,domestic_league,5,0,81,39
Callum Wilson,premier-league,first_tier,domestic_league,22,0,79,25
Lautaro Martínez,serie-a,first_tier,domestic_league,26,1,79,26
Ricardo Horta,liga-portugal-bwin,first_tier,domestic_league,18,0,78,39
Marco Reus,bundesliga,first_tier,domestic_league,14,1,78,53
Burak Yilmaz,super-lig,first_tier,domestic_league,27,0,77,18
Hans Vanaken,jupiler-pro-league,first_tier,domestic_league,26,1,77,59
Mehdi Taremi,liga-portugal-bwin,first_tier,domestic_league,14,3,76,41
Luis Muriel,serie-a,first_tier,domestic_league,12,1,76,36
Bas Dost,liga-portugal-bwin,first_tier,domestic_league,7,0,75,8
Robert Lewandowski,uefa-champions-league,uefa_champions_league,international_cup,6,0,74,18
Sébastien Haller,eredivisie,first_tier,domestic_league,13,1,73,26
Cristiano Ronaldo,uefa-champions-league,uefa_champions_league,international_cup,7,1,73,22
Josip Ilicic,serie-a,first_tier,domestic_league,22,2,73,48
Moussa Marega,liga-portugal-bwin,first_tier,domestic_league,23,1,73,34
Max Kruse,bundesliga,first_tier,domestic_league,9,0,72,52
Lars Stindl,bundesliga,first_tier,domestic_league,59,0,72,48
João Pedro,serie-a,first_tier,domestic_league,39,2,71,20
Anthony Modeste,bundesliga,first_tier,domestic_league,15,0,71,12
Willian José,laliga,first_tier,domestic_league,25,1,70,21
Hakim Ziyech,eredivisie,first_tier,domestic_league,20,0,70,84
Neymar,ligue-1,first_tier,domestic_league,29,1,69,39
Pierre-Emerick Aubameyang,premier-league,first_tier,domestic_league,9,1,69,16
Raúl García,laliga,first_tier,domestic_league,77,1,69,29
Nils Petersen,bundesliga,first_tier,domestic_league,7,0,69,14
Gabriel Jesus,premier-league,first_tier,domestic_league,21,0,69,39
Jelle Vossen,jupiler-pro-league,first_tier,domestic_league,21,1,69,13
Florian Thauvin,ligue-1,first_tier,domestic_league,22,2,68,43
Wilfried Zaha,premier-league,first_tier,domestic_league,51,0,68,34
Quincy Promes,premier-liga,first_tier,domestic_league,20,0,68,32
Giovanni Simeone,serie-a,first_tier,domestic_league,21,0,67,20
Paulinho,liga-portugal-bwin,first_tier,domestic_league,98,2,67,58
Aritz Aduriz,laliga,first_tier,domestic_league,43,0,66,18
Alfredo Morelos,scottish-premiership,first_tier,domestic_league,37,3,66,27
José Luis Morales,laliga,first_tier,domestic_league,35,0,66,32
Dusan Tadic,eredivisie,first_tier,domestic_league,8,0,66,65
Júnior Moraes,premier-liga,first_tier,domestic_league,21,2,65,19
Kamil Wilczek,superligaen,first_tier,domestic_league,17,1,64,13
Konstantinos Fortounis,super-league-1,first_tier,domestic_league,14,0,64,57
Iñaki Williams,laliga,first_tier,domestic_league,24,0,64,38
Gareth Bale,laliga,first_tier,domestic_league,22,1,63,28
Mikel Oyarzabal,laliga,first_tier,domestic_league,12,1,63,39
Alexis Sánchez,premier-league,first_tier,domestic_league,19,0,63,31
Olivier Giroud,premier-league,first_tier,domestic_league,12,1,63,17
Eden Hazard,premier-league,first_tier,domestic_league,11,0,62,37
Erling Haaland,bundesliga,first_tier,domestic_league,5,0,62,19
Lionel Messi,uefa-champions-league,uefa_champions_league,international_cup,7,0,62,24
Danny Ings,premier-league,first_tier,domestic_league,16,0,62,19
Davy Klaassen,eredivisie,first_tier,domestic_league,22,0,62,33
Memphis Depay,ligue-1,first_tier,domestic_league,13,0,62,44
Dusan Vlahovic,serie-a,first_tier,domestic_league,10,1,61,9
Santi Mina,laliga,first_tier,domestic_league,30,0,61,24
Eric Bicfalvi,premier-liga,first_tier,domestic_league,32,0,61,15
Michail Antonio,premier-league,first_tier,domestic_league,29,0,61,33
Leonardo Pavoletti,serie-a,first_tier,domestic_league,40,1,60,12
Kevin Volland,bundesliga,first_tier,domestic_league,29,1,60,39
Tiquinho Soares,liga-portugal-bwin,first_tier,domestic_league,23,0,59,11
Kévin Gameiro,laliga,first_tier,domestic_league,3,0,59,18
Liam Boyce,scottish-premiership,first_tier,domestic_league,12,1,59,21
Marcus Rashford,premier-league,first_tier,domestic_league,18,1,59,38
Wout Weghorst,bundesliga,first_tier,domestic_league,16,0,59,21
Pizzi,liga-portugal-bwin,first_tier,domestic_league,28,0,59,63
Odsonne Edouard,scottish-premiership,first_tier,domestic_league,7,0,59,25
Karl Toko Ekambi,ligue-1,first_tier,domestic_league,13,0,59,27
Neymar,laliga,first_tier,domestic_league,19,1,59,34
Francesco Caputo,serie-a,first_tier,domestic_league,8,0,59,25
Adam Rooney,scottish-premiership,first_tier,domestic_league,2,0,58,12
Zinho Gano,jupiler-pro-league,first_tier,domestic_league,18,0,58,14
Dmitriy Poloz,premier-liga,first_tier,domestic_league,15,0,58,23
Mattia Destro,serie-a,first_tier,domestic_league,38,0,58,9
Gaëtan Laborde,ligue-1,first_tier,domestic_league,11,1,57,31
Lior Refaelov,jupiler-pro-league,first_tier,domestic_league,22,0,57,40
Jens Toornstra,eredivisie,first_tier,domestic_league,32,0,57,53
Kevin De Bruyne,premier-league,first_tier,domestic_league,16,0,57,85
Mustapha Yatabaré,super-lig,first_tier,domestic_league,33,2,57,16
Sergej Milinković-Savić,serie-a,first_tier,domestic_league,59,1,57,48
Muhammet Demir,super-lig,first_tier,domestic_league,29,0,57,16
Michiel Kramer,eredivisie,first_tier,domestic_league,27,1,57,17
Zlatan Ibrahimović,ligue-1,first_tier,domestic_league,4,0,57,19
Ángel Di María,ligue-1,first_tier,domestic_league,10,1,57,76
Paul Onuachu,jupiler-pro-league,first_tier,domestic_league,8,0,57,6
Romelu Lukaku,serie-a,first_tier,domestic_league,7,0,57,18
Christian Benteke,premier-league,first_tier,domestic_league,30,2,57,16
Anthony Martial,premier-league,first_tier,domestic_league,8,1,56,30
Valère Germain,ligue-1,first_tier,domestic_league,12,1,56,25
Wahbi Khazri,ligue-1,first_tier,domestic_league,49,2,56,25
Vangelis Pavlidis,eredivisie,first_tier,domestic_league,15,0,56,25
Radamel Falcao,ligue-1,first_tier,domestic_league,13,0,56,13
Borja Iglesias,laliga,first_tier,domestic_league,15,2,55,9
Hugo Rodallega,super-lig,first_tier,domestic_league,15,0,55,5
Michael de Leeuw,eredivisie,first_tier,domestic_league,17,1,55,8
Dani Parejo,laliga,first_tier,domestic_league,74,2,55,58
Lucas Pérez,laliga,first_tier,domestic_league,21,0,55,30
Viktor Tsygankov,premier-liga,first_tier,domestic_league,9,0,54,32
Alexandre Lacazette,premier-league,first_tier,domestic_league,14,0,54,29
James Tavernier,scottish-premiership,first_tier,domestic_league,30,0,54,66
Anders Jacobsen,superligaen,first_tier,domestic_league,16,0,54,24
Manolo Gabbiadini,serie-a,first_tier,domestic_league,23,1,54,17
Adis Jahovic,super-lig,first_tier,domestic_league,21,4,54,9
Cristhian Stuani,laliga,first_tier,domestic_league,30,0,54,0
Joshua King,premier-league,first_tier,domestic_league,13,0,53,17
Moussa Dembélé,ligue-1,first_tier,domestic_league,12,0,53,11
Habib Diallo,ligue-1,first_tier,domestic_league,10,1,53,10
Dimitri Payet,ligue-1,first_tier,domestic_league,27,3,53,71
Martin Terrier,ligue-1,first_tier,domestic_league,9,1,53,20
Mbaye Diagne,super-lig,first_tier,domestic_league,12,1,53,7
Adem Büyük,super-lig,first_tier,domestic_league,53,2,53,23
Rafa,liga-portugal-bwin,first_tier,domestic_league,26,0,53,52
Gylfi Sigurdsson,premier-league,first_tier,domestic_league,20,0,52,43
Chris Wood,premier-league,first_tier,domestic_league,5,0,52,7
Jerónimo Barrales,super-league-1,first_tier,domestic_league,44,1,52,7
Jonathan David,ligue-1,first_tier,domestic_league,9,0,52,7
Diego Costa,premier-league,first_tier,domestic_league,26,0,52,16
Antonio Candreva,serie-a,first_tier,domestic_league,31,1,51,65
André Silva,bundesliga,first_tier,domestic_league,4,0,51,16
Pedro Gonçalves,liga-portugal-bwin,first_tier,domestic_league,25,0,51,31
Dele Alli,premier-league,first_tier,domestic_league,28,0,51,34
Wout Weghorst,eredivisie,first_tier,domestic_league,24,0,51,17
Enes Ünal,laliga,first_tier,domestic_league,29,0,51,14
Nabil Fekir,ligue-1,first_tier,domestic_league,25,1,51,31
Victor Osimhen,serie-a,first_tier,domestic_league,13,1,50,13
Marcus Berg,super-league-1,first_tier,domestic_league,15,0,50,10
Grégoire Defrel,serie-a,first_tier,domestic_league,22,0,50,21
Bogdan Stancu,super-lig,first_tier,domestic_league,11,0,50,19
Papu Gómez,serie-a,first_tier,domestic_league,21,1,50,58
Karim Benzema,uefa-champions-league,uefa_champions_league,international_cup,1,0,50,9
Samuel Eto'o,super-lig,first_tier,domestic_league,12,0,50,15
Juanmi,laliga,first_tier,domestic_league,23,0,50,11
Michael Gregoritsch,bundesliga,first_tier,domestic_league,29,0,50,16
José Callejón,serie-a,first_tier,domestic_league,14,1,50,52
Youssef El Arabi,super-league-1,first_tier,domestic_league,3,0,50,16
Riad Bajic,super-lig,first_tier,domestic_league,8,0,49,12
James Ward-Prowse,premier-league,first_tier,domestic_league,39,2,49,37
Laurent Depoitre,jupiler-pro-league,first_tier,domestic_league,6,0,49,20
Mimoun Mahi,eredivisie,first_tier,domestic_league,9,0,49,25
Ivan Perisic,serie-a,first_tier,domestic_league,23,1,49,40
Ally Samatta,jupiler-pro-league,first_tier,domestic_league,10,1,49,11
Haris Seferovic,liga-portugal-bwin,first_tier,domestic_league,5,0,49,20
Serdar Gürler,super-lig,first_tier,domestic_league,24,0,48,31
Salomon Kalou,bundesliga,first_tier,domestic_league,5,0,48,15
Emiliano Sala,ligue-1,first_tier,domestic_league,16,0,48,15
Maxi Gómez,laliga,first_tier,domestic_league,36,1,48,17
Fernandão,super-lig,first_tier,domestic_league,19,0,48,9
Iago Falque,serie-a,first_tier,domestic_league,12,0,48,25
Richarlison,premier-league,first_tier,domestic_league,29,2,48,18
Enner Valencia,super-lig,first_tier,domestic_league,11,1,48,15
Aleksandr Erokhin,premier-liga,first_tier,domestic_league,32,0,48,18
Sander van de Streek,eredivisie,first_tier,domestic_league,14,1,48,21
Nicolai Jörgensen,eredivisie,first_tier,domestic_league,6,1,48,19
Julian Brandt,bundesliga,first_tier,domestic_league,3,0,47,51
Carlos Bacca,laliga,first_tier,domestic_league,19,0,47,17
Jimmy Briand,ligue-1,first_tier,domestic_league,14,0,47,22
Marlos,premier-liga,first_tier,domestic_league,25,0,47,31
Christopher Nkunku,bundesliga,first_tier,domestic_league,10,0,47,43
Troy Deeney,premier-league,first_tier,domestic_league,21,2,47,21
Gianluca Caprari,serie-a,first_tier,domestic_league,34,1,47,22
Deniz Kadah,super-lig,first_tier,domestic_league,12,0,47,8
Bafétimbi Gomis,super-lig,first_tier,domestic_league,4,1,46,5
James Forrest,scottish-premiership,first_tier,domestic_league,4,0,46,49
Ludovic Ajorque,ligue-1,first_tier,domestic_league,19,1,46,17
Patrik Schick,bundesliga,first_tier,domestic_league,7,0,46,10
Christian Eriksen,premier-league,first_tier,domestic_league,18,0,46,68
Ryan Babel,super-lig,first_tier,domestic_league,30,1,46,23
Karim Ansarifard,super-league-1,first_tier,domestic_league,16,1,45,12
Paco Alcácer,laliga,first_tier,domestic_league,7,1,45,27
Teemu Pukki,superligaen,first_tier,domestic_league,8,0,45,14
Youssef En-Nesyri,laliga,first_tier,domestic_league,18,0,45,7
Ángel Correa,laliga,first_tier,domestic_league,36,2,45,38
Patrick Mortensen,superligaen,first_tier,domestic_league,9,0,45,7
Papiss Cissé,super-lig,first_tier,domestic_league,15,0,45,6
Klaas-Jan Huntelaar,eredivisie,first_tier,domestic_league,9,0,45,13
Dominic Calvert-Lewin,premier-league,first_tier,domestic_league,22,0,45,12
Nicolas de Préville,ligue-1,first_tier,domestic_league,31,0,45,28
Vedad Ibisevic,bundesliga,first_tier,domestic_league,28,3,45,19
Arkadiusz Milik,serie-a,first_tier,domestic_league,15,0,45,3
Ayoze Pérez,premier-league,first_tier,domestic_league,10,1,45,17
Andriy Yarmolenko,premier-liga,first_tier,domestic_league,15,0,45,32
Roman Yaremchuk,jupiler-pro-league,first_tier,domestic_league,17,1,44,11
Renaud Emond,jupiler-pro-league,first_tier,domestic_league,13,0,44,5
Islam Slimani,liga-portugal-bwin,first_tier,domestic_league,12,0,44,10
Roger Martí,laliga,first_tier,domestic_league,33,0,44,12
Cenk Tosun,super-lig,first_tier,domestic_league,10,0,44,10
Jonas Hofmann,bundesliga,first_tier,domestic_league,10,0,44,40
Jorge Molina,laliga,first_tier,domestic_league,25,1,44,19
Gastón Pereiro,eredivisie,first_tier,domestic_league,12,0,44,17
Michalis Manias,super-league-1,first_tier,domestic_league,15,0,44,6
Bruno Fernandes,premier-league,first_tier,domestic_league,24,0,44,32
Mark Uth,bundesliga,first_tier,domestic_league,28,0,44,28
Ruud Vormer,jupiler-pro-league,first_tier,domestic_league,33,0,44,69
Charles,laliga,first_tier,domestic_league,40,1,44,10
Andrea Petagna,serie-a,first_tier,domestic_league,22,0,44,18
Rafael Martins,liga-portugal-bwin,first_tier,domestic_league,22,1,44,7
Arjen Robben,bundesliga,first_tier,domestic_league,3,0,43,25
Christian Noboa,premier-liga,first_tier,domestic_league,24,2,43,31
Thorgan Hazard,bundesliga,first_tier,domestic_league,15,0,43,51
Ryan Christie,scottish-premiership,first_tier,domestic_league,18,1,43,45
Umut Bulut,super-lig,first_tier,domestic_league,27,0,43,9
Raffael,bundesliga,first_tier,domestic_league,4,0,43,15
Nolito,laliga,first_tier,domestic_league,33,0,43,33
Alireza Jahanbakhsh,eredivisie,first_tier,domestic_league,17,0,43,35
Mario Pasalic,serie-a,first_tier,domestic_league,20,0,43,20
Mbaye Leye,jupiler-pro-league,first_tier,domestic_league,16,0,42,14
Luis Alberto,serie-a,first_tier,domestic_league,28,1,42,55
Adrien Thomasson,ligue-1,first_tier,domestic_league,41,2,42,39
Lucas Alario,bundesliga,first_tier,domestic_league,15,1,42,12
Siebe Schrijvers,jupiler-pro-league,first_tier,domestic_league,28,0,42,31
Ashley Barnes,premier-league,first_tier,domestic_league,44,0,42,6
Kike García,laliga,first_tier,domestic_league,25,0,42,7
Kelechi Iheanacho,premier-league,first_tier,domestic_league,8,0,42,27
Giacomo Bonaventura,serie-a,first_tier,domestic_league,37,2,42,39
Matteo Politano,serie-a,first_tier,domestic_league,22,1,42,31
Aleksandr Sobolev,premier-liga,first_tier,domestic_league,35,1,42,16
Fedor Chalov,premier-liga,first_tier,domestic_league,5,0,42,24
Tom van Weert,eredivisie,first_tier,domestic_league,12,1,41,8
Steven Bergwijn,eredivisie,first_tier,domestic_league,14,0,41,36
Anthony Nwakaeme,super-lig,first_tier,domestic_league,12,0,41,36
Joselu,laliga,first_tier,domestic_league,14,0,41,12
Mario Balotelli,ligue-1,first_tier,domestic_league,28,4,41,2
Nolan Roux,ligue-1,first_tier,domestic_league,20,0,41,7
Demba Ba,super-lig,first_tier,domestic_league,11,0,41,11
Lennart Thy,eredivisie,first_tier,domestic_league,2,0,41,12
Stephan El Shaarawy,serie-a,first_tier,domestic_league,8,0,41,21
Franck Kessié,serie-a,first_tier,domestic_league,37,1,41,13
Georgios Masouras,super-league-1,first_tier,domestic_league,16,0,41,10
Kris Doolan,scottish-premiership,first_tier,domestic_league,4,0,41,4
Michael Frey,jupiler-pro-league,first_tier,domestic_league,7,0,41,7
Eamonn Brophy,scottish-premiership,first_tier,domestic_league,10,1,41,7
Emre Akbaba,super-lig,first_tier,domestic_league,21,0,41,26
Florian Niederlechner,bundesliga,first_tier,domestic_league,16,0,40,20
Billy McKay,scottish-premiership,first_tier,domestic_league,4,0,40,13
Kevin Lasagna,serie-a,first_tier,domestic_league,9,0,40,12
Alexandru Maxim,super-lig,first_tier,domestic_league,24,0,40,18
Mame Diouf,super-lig,first_tier,domestic_league,14,0,40,10
Iuri Medeiros,liga-portugal-bwin,first_tier,domestic_league,21,0,40,38
Théo Bongonda,jupiler-pro-league,first_tier,domestic_league,13,1,40,24
Dyego Sousa,liga-portugal-bwin,first_tier,domestic_league,14,1,40,10
Yussuf Poulsen,bundesliga,first_tier,domestic_league,12,0,40,24
Morten ‘Duncan’ Rasmussen,superligaen,first_tier,domestic_league,9,1,40,6
Munir El Haddadi,laliga,first_tier,domestic_league,26,0,40,19
Vincent Aboubakar,super-lig,first_tier,domestic_league,5,0,40,11
Georgios Manousos,super-league-1,first_tier,domestic_league,41,0,40,10
Oussama Idrissi,eredivisie,first_tier,domestic_league,22,0,40,33
Alassane Plea,bundesliga,first_tier,domestic_league,17,0,40,32
Aleksey Ionov,premier-liga,first_tier,domestic_league,10,0,40,26
Raúl Jiménez,premier-league,first_tier,domestic_league,16,0,40,19
Terem Moffi,ligue-1,first_tier,domestic_league,6,0,40,10
Felipe Anderson,serie-a,first_tier,domestic_league,17,0,40,41
Cyril Théréau,serie-a,first_tier,domestic_league,11,1,40,10
Ante Budimir,laliga,first_tier,domestic_league,23,0,40,6
Diogo Jota,premier-league,first_tier,domestic_league,20,0,40,12
Reza Ghoochannejhad,eredivisie,first_tier,domestic_league,5,1,40,6
Riccardo Orsolini,serie-a,first_tier,domestic_league,15,1,40,23
Evgeniy Lutsenko,premier-liga,first_tier,domestic_league,15,0,40,19
Nikola Kalinic,serie-a,first_tier,domestic_league,16,1,40,10
Donyell Malen,eredivisie,first_tier,domestic_league,7,0,40,18
Aatif Chahechouhe,super-lig,first_tier,domestic_league,15,0,39,12
Yohan Boli,jupiler-pro-league,first_tier,domestic_league,26,0,39,8
Denis Glushakov,premier-liga,first_tier,domestic_league,34,1,39,10
Radja Nainggolan,serie-a,first_tier,domestic_league,45,0,39,26
Philippe Coutinho,premier-league,first_tier,domestic_league,12,0,39,26
Mahmoud Trezeguet,super-lig,first_tier,domestic_league,13,1,39,26
Fran Sol,eredivisie,first_tier,domestic_league,8,1,39,6
Max Gradel,ligue-1,first_tier,domestic_league,22,1,39,15
Scott Sinclair,scottish-premiership,first_tier,domestic_league,3,0,39,18
David Silva,premier-league,first_tier,domestic_league,23,0,39,59
Ari,premier-liga,first_tier,domestic_league,21,1,39,25
Marko Arnautovic,premier-league,first_tier,domestic_league,21,2,39,27
Paul Onuachu,superligaen,first_tier,domestic_league,20,0,39,11
Knowledge Musona,jupiler-pro-league,first_tier,domestic_league,11,1,39,16
Alex Teixeira,premier-liga,first_tier,domestic_league,8,0,39,5
Anastasios Bakasetas,super-lig,first_tier,domestic_league,26,1,39,18
Henk Veerman,eredivisie,first_tier,domestic_league,9,0,39,14
Vágner Love,super-lig,first_tier,domestic_league,14,0,39,6
Nicolas Pépé,ligue-1,first_tier,domestic_league,8,0,38,17
Louis Moult,scottish-premiership,first_tier,domestic_league,14,0,38,13
Daniel Caligiuri,bundesliga,first_tier,domestic_league,34,0,38,40
Federico Chiesa,serie-a,first_tier,domestic_league,29,1,38,36
Malcom,premier-liga,first_tier,domestic_league,6,0,38,21
Jadon Sancho,bundesliga,first_tier,domestic_league,4,0,38,51
Lasse Schöne,eredivisie,first_tier,domestic_league,23,1,38,29
Sergio Canales,laliga,first_tier,domestic_league,36,1,38,39
Efthymios Koulouris,super-league-1,first_tier,domestic_league,9,1,38,6
Ludovic Blas,ligue-1,first_tier,domestic_league,36,0,38,27
Kingsley Coman,bundesliga,first_tier,domestic_league,9,1,38,40
Wissam Ben Yedder,laliga,first_tier,domestic_league,6,0,38,17
Jonathan Bamba,ligue-1,first_tier,domestic_league,17,0,38,38
Callum McGregor,scottish-premiership,first_tier,domestic_league,16,1,38,46
Emil Forsberg,bundesliga,first_tier,domestic_league,6,2,38,43
Niall McGinn,scottish-premiership,first_tier,domestic_league,4,0,38,56
Roberto Inglese,serie-a,first_tier,domestic_league,12,0,38,10
Hamdi Harbaoui,jupiler-pro-league,first_tier,domestic_league,24,0,38,1
Aleksandar Mitrović,premier-league,first_tier,domestic_league,21,2,38,13
Aleksandr Kokorin,premier-liga,first_tier,domestic_league,13,1,38,15
Rafael Leão,serie-a,first_tier,domestic_league,16,0,38,28
Jermain Defoe,premier-league,first_tier,domestic_league,6,0,38,5
Guus Til,eredivisie,first_tier,domestic_league,11,0,38,12
Ivan Santini,jupiler-pro-league,first_tier,domestic_league,14,0,38,3
Khouma Babacar,serie-a,first_tier,domestic_league,9,0,38,11
Amine Gouiri,ligue-1,first_tier,domestic_league,12,0,37,21
Ángel Rodríguez,laliga,first_tier,domestic_league,25,0,37,13
Téji Savanier,ligue-1,first_tier,domestic_league,31,6,37,32
Emiliano Marcondes,superligaen,first_tier,domestic_league,10,0,37,14
Alexander Meier,bundesliga,first_tier,domestic_league,3,0,37,6
Alfred Finnbogason,bundesliga,first_tier,domestic_league,9,1,37,13
Nicklas Helenius,superligaen,first_tier,domestic_league,7,0,37,11
Sam Larsson,eredivisie,first_tier,domestic_league,6,0,37,40
Yannick Carrasco,laliga,first_tier,domestic_league,28,0,37,32
David Neres,eredivisie,first_tier,domestic_league,10,0,37,32
Simone Verdi,serie-a,first_tier,domestic_league,28,0,37,30
Sokol Cikalleshi,super-lig,first_tier,domestic_league,11,0,37,14
Neymar,uefa-champions-league,uefa_champions_league,international_cup,19,0,37,27
Jérémy Perbet,jupiler-pro-league,first_tier,domestic_league,6,1,37,3
Benjamin Bourigeaud,ligue-1,first_tier,domestic_league,26,0,37,33
André Hahn,bundesliga,first_tier,domestic_league,30,0,37,19
Raúl de Tomás,laliga,first_tier,domestic_league,18,1,37,4
Vedat Muriqi,super-lig,first_tier,domestic_league,11,1,37,14
Sandro Wagner,bundesliga,first_tier,domestic_league,21,1,37,10
Gianni Bruno,jupiler-pro-league,first_tier,domestic_league,8,0,37,11
João Mário,liga-portugal-bwin,first_tier,domestic_league,27,1,37,38
Rodrigo,laliga,first_tier,domestic_league,18,3,37,30
Keita Baldé,serie-a,first_tier,domestic_league,23,1,36,14
Alassane Plea,ligue-1,first_tier,domestic_league,16,0,36,20
Ilkay Gündogan,premier-league,first_tier,domestic_league,15,0,36,12
Léonard Kweuke,super-lig,first_tier,domestic_league,17,0,36,6
Daniel Didavi,bundesliga,first_tier,domestic_league,20,0,36,18
Cody Gakpo,eredivisie,first_tier,domestic_league,7,0,36,39
Dieumerci Mbokani,jupiler-pro-league,first_tier,domestic_league,18,0,36,18
Cyriel Dessers,eredivisie,first_tier,domestic_league,5,0,36,10
Piotr Zielinski,serie-a,first_tier,domestic_league,27,0,36,37
Vincent Aboubakar,liga-portugal-bwin,first_tier,domestic_league,8,0,36,10
Abdoulay Diaby,jupiler-pro-league,first_tier,domestic_league,11,0,36,12
Romain Hamouma,ligue-1,first_tier,domestic_league,29,0,36,30
Rony Lopes,ligue-1,first_tier,domestic_league,14,1,36,22
Erling Haaland,premier-league,first_tier,domestic_league,5,0,36,8
Gyrano Kerk,eredivisie,first_tier,domestic_league,16,0,36,33
Konstantinos Mitroglou,liga-portugal-bwin,first_tier,domestic_league,7,0,36,6
Greg Stewart,scottish-premiership,first_tier,domestic_league,24,0,36,38
Lorenzo Pellegrini,serie-a,first_tier,domestic_league,52,2,36,40
Kai Havertz,bundesliga,first_tier,domestic_league,10,0,36,24
Robert Skov,superligaen,first_tier,domestic_league,7,0,36,19
Glenn Murray,premier-league,first_tier,domestic_league,21,0,36,6
Ricky van Wolfswinkel,eredivisie,first_tier,domestic_league,10,0,36,12
Hélder Guedes,liga-portugal-bwin,first_tier,domestic_league,19,1,36,10
Salomón Rondón,premier-league,first_tier,domestic_league,10,2,36,16
Danny Welbeck,premier-league,first_tier,domestic_league,5,0,36,23
Bruno Moreira,liga-portugal-bwin,first_tier,domestic_league,11,0,36,10
Bas Dost,bundesliga,first_tier,domestic_league,6,0,36,11
Pablo Sarabia,laliga,first_tier,domestic_league,45,0,36,37
Yacine Brahimi,liga-portugal-bwin,first_tier,domestic_league,11,1,36,26
Portu,laliga,first_tier,domestic_league,26,0,36,22
Jesper Karlsson,eredivisie,first_tier,domestic_league,9,0,35,26
Vincenzo Grifo,bundesliga,first_tier,domestic_league,5,1,35,43
Álvaro Morata,serie-a,first_tier,domestic_league,19,2,35,29
Oleksandr Gladkyi,premier-liga,first_tier,domestic_league,13,0,35,16
Filip Kostic,bundesliga,first_tier,domestic_league,32,0,35,66
Wayne Rooney,premier-league,first_tier,domestic_league,22,1,35,17
Theo Walcott,premier-league,first_tier,domestic_league,6,0,35,18
Kaveh Rezaei,jupiler-pro-league,first_tier,domestic_league,8,0,35,13
Teddy Chevalier,jupiler-pro-league,first_tier,domestic_league,14,0,35,22
Harvey Barnes,premier-league,first_tier,domestic_league,5,0,35,25
