player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Timothy Tillman,bundesliga,first_tier,domestic_league,3,0,1,3
Nail Umyarov,russian-cup,domestic_cup,domestic_cup,0,0,1,0
Eugen Polanski,dfb-pokal,domestic_cup,domestic_cup,0,0,1,0
Lukman Haruna,premier-liga,first_tier,domestic_league,5,0,1,3
Yassin Oukili,toto-knvb-beker,domestic_cup,domestic_cup,1,0,1,1
Dwight Gayle,fa-cup,domestic_cup,domestic_cup,0,0,1,2
Dusan Tadic,fa-cup,domestic_cup,domestic_cup,0,0,1,2
Nair Tiknizyan,russian-cup,domestic_cup,domestic_cup,4,0,1,3
Duje Caleta-Car,fa-cup,domestic_cup,domestic_cup,2,0,1,0
Andriy Mostovyi,premier-liga,first_tier,domestic_league,18,0,1,3
Strahil Popov,super-lig,first_tier,domestic_league,16,2,1,20
Youssef El Jebli,toto-knvb-beker,domestic_cup,domestic_cup,0,0,1,1
Diogo Dalot,fa-cup,domestic_cup,domestic_cup,2,0,1,0
Tabaré Viúdez,super-lig,first_tier,domestic_league,1,0,1,3
Luís Santos,liga-portugal-bwin,first_tier,domestic_league,1,1,1,0
Ermin Bicakcic,dfb-pokal,domestic_cup,domestic_cup,2,0,1,0
Taha Yalciner,super-lig,first_tier,domestic_league,10,0,1,2
Tim Skarke,bundesliga,first_tier,domestic_league,1,0,1,1
Léo,premier-liga,first_tier,domestic_league,0,0,1,0
Talha Caliskan,super-lig,first_tier,domestic_league,0,0,1,0
Luís Martins,liga-portugal-bwin,first_tier,domestic_league,4,0,1,0
Yuning Zhang,toto-knvb-beker,domestic_cup,domestic_cup,0,0,1,1
Halil Altintop,europa-league,europa_league,international_cup,0,0,1,1
Tevfik Altindag,super-lig,first_tier,domestic_league,6,0,1,2
Haris Seferovic,europa-league,europa_league,international_cup,0,0,1,0
Daniel Sturridge,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Tom Rothe,bundesliga,first_tier,domestic_league,1,0,1,1
Felipe Anderson,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Wout Brama,toto-knvb-beker,domestic_cup,domestic_cup,2,0,1,1
Adrien Rabiot,trophee-des-champions,domestic_super_cup,other,0,0,1,1
Yvan Neyou,ligue-1,first_tier,domestic_league,13,0,1,2
Tomas Brecka,super-lig,first_tier,domestic_league,5,0,1,0
Danny Williams,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Yvann Maçon,ligue-1,first_tier,domestic_league,10,0,1,1
Toni Sunjic,bundesliga,first_tier,domestic_league,7,0,1,0
Tony Jantschke,bundesliga,first_tier,domestic_league,19,0,1,2
Tomas Pekhart,super-lig,first_tier,domestic_league,0,0,1,1
Danny Rose,fa-cup,domestic_cup,domestic_cup,2,0,1,0
Ferran Torres,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Havard Nordtveit,europa-league,europa_league,international_cup,4,0,1,0
Fikayo Tomori,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Hedwiges Maduro,europa-league,europa_league,international_cup,1,0,1,0
Tomislav Glumac,super-lig,first_tier,domestic_league,2,0,1,0
Serkan Balci,super-lig,first_tier,domestic_league,18,0,1,1
Lucas Barrios,premier-liga,first_tier,domestic_league,1,0,1,0
Serkan Bakan,super-lig,first_tier,domestic_league,0,0,1,0
Serkan Asan,super-lig,first_tier,domestic_league,4,1,1,2
Andriy Kukharuk,premier-liga,first_tier,domestic_league,2,0,1,0
Tanguy Nianzou,bundesliga,first_tier,domestic_league,5,1,1,1
Gorka Elustondo,europa-league,europa_league,international_cup,2,0,1,0
Hassane Kamara,europa-league,europa_league,international_cup,1,0,1,0
Terrence Boyd,bundesliga,first_tier,domestic_league,1,0,1,0
Hasan Ali Kaldirim,europa-league,europa_league,international_cup,5,0,1,3
Fabian Johnson,dfb-pokal,domestic_cup,domestic_cup,0,0,1,2
Enner Valencia,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Zakaria Aboukhlal,toto-knvb-beker,domestic_cup,domestic_cup,0,0,1,0
Davy Pröpper,fa-cup,domestic_cup,domestic_cup,1,0,1,2
Harmeet Singh,europa-league,europa_league,international_cup,1,0,1,0
Simon Falette,super-lig,first_tier,domestic_league,6,1,1,1
Thuram,super-lig,first_tier,domestic_league,1,0,1,0
David Templeton,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Yrondu Musavu-King,ligue-1,first_tier,domestic_league,0,0,1,0
Andriy Novikov,premier-liga,first_tier,domestic_league,0,0,1,0
Yohann Magnin,ligue-1,first_tier,domestic_league,8,0,1,1
Harry Winks,europa-league,europa_league,international_cup,1,0,1,1
Ishak Belfodil,serie-a,first_tier,domestic_league,4,0,1,3
Magomed Musalov,premier-liga,first_tier,domestic_league,8,0,1,1
Guido Rodríguez,europa-league,europa_league,international_cup,2,0,1,1
Evandro,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Sherel Floranus,super-lig,first_tier,domestic_league,2,0,1,0
Fabian Kunze,dfb-pokal,domestic_cup,domestic_cup,0,0,1,1
Adrien Hunou,trophee-des-champions,domestic_super_cup,other,0,0,1,0
David Faupala,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Anthony Valencia,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,1,0,1,1
Sezer Badur,super-lig,first_tier,domestic_league,0,0,1,0
Anthony Nwakaeme,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,0
Gonçalo Guedes,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Wahid Faghir,bundesliga,first_tier,domestic_league,0,0,1,0
Zanka,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,2,0,1,1
Andy Carroll,fa-cup,domestic_cup,domestic_cup,3,0,1,3
Ashley Barnes,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Andriy Yakymiv,premier-liga,first_tier,domestic_league,6,0,1,0
Arnaut Danjuma,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Zinedine Ferhat,super-lig,first_tier,domestic_league,2,0,1,3
Konstantin Savichev,premier-liga,first_tier,domestic_league,7,0,1,2
Anwar El Ghazi,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Antony,fa-cup,domestic_cup,domestic_cup,0,0,1,1
