player_name,country_of_citizenship_x,current_club_name,Total Assist,Total Red Card,Total Yellow Card,Total Goals
Sergey Ignashevich,Russia,CSKA Moscow,3,0,13,9
Sergi Roberto,Spain,FC Barcelona,33,2,31,9
Sergio CÃ³rdova,Venezuela,FC Augsburg,3,0,4,9
Sergiy Vakulenko,Ukraine,Karpaty Lviv (-2021),2,0,17,9
Seth De Witte,Belgium,KV Mechelen,5,2,17,9
Shon Weissman,Israel,Real Valladolid CF,3,0,3,9
Silvan Widmer,Switzerland,1.FSV Mainz 05,20,0,15,9
Simone Missiroli,Italy,SPAL,9,0,41,9
StÃ©phane Mbia,Cameroon,FC Toulouse,3,0,20,9
Stefan Mitrovic,Serbia,Getafe CF,3,5,42,9
Stefan Posch,Austria,Bologna FC 1909,3,0,44,9
Stephan Petersen,Denmark,Silkeborg IF,2,0,7,9
Stijn Wuytens,Belgium,AZ Alkmaar,15,0,28,9
Stiven Mendoza,Colombia,Amiens SC,2,0,6,9
Stuart Dallas,Northern Ireland,Leeds United,3,0,12,9
Stuart Findlay,Scotland,Kilmarnock FC,3,2,8,9
Taichi Hara,Japan,Sint-Truidense VV,5,0,7,9
Takuma Asano,Japan,VfL Bochum,7,0,3,9
Tayfur BingÃ¶l,Turkey,Alanyaspor,11,0,16,9
Thomas Dalgaard,Denmark,SÃ¶nderjyskE,4,0,1,9
TimothÃ©e Kolodziejczak,France,FC Schalke 04,8,4,40,9
Tin Jedvaj,Croatia,Lokomotiv Moscow,4,1,44,9
Tobias Werner,Germany,FC Augsburg,7,0,12,9
Toni Silva,Guinea-Bissau,APO Levadiakos,3,0,7,9
Toni Sunjic,Bosnia-Herzegovina,Dynamo Moscow,2,0,30,9
VÃ­ctor Laguardia,Spain,Deportivo AlavÃ©s,8,3,44,9
ValentÃ­n Vada,Argentina,AS Saint-Ã‰tienne,7,0,10,9
Valentin Stocker,Switzerland,Hertha BSC,10,1,9,9
Valentino Lazaro,Austria,Torino FC,19,1,20,9
Valeriy Luchkevych,Ukraine,SK Dnipro-1,14,0,12,9
Vangelis Platellas,Greece,Ionikos Nikeas,7,0,10,9
Victor Anichebe,Nigeria,Sunderland AFC,3,0,2,9
Victor SÃ¡,Brazil,VfL Wolfsburg,8,0,4,9
Victor Torp,Denmark,FC Midtjylland,2,0,4,9
Vitalie Damascan,Moldova,RKC Waalwijk,2,0,4,9
Vitaliy Djakov,Russia,Sivasspor,2,0,10,9
Vladimir Obukhov,Russia,FK Orenburg,3,0,5,9
Vladislav Sarveli,Russia,FC Sochi,4,0,2,9
Wesley Hoedt,Netherlands,RSC Anderlecht,2,2,51,9
Wilker Ãngel,Venezuela,GÃ¶ztepe,2,1,25,9
William Togui,Cote d'Ivoire,KV Mechelen,1,0,1,9
Woo-yeong Jeong,"Korea, South",SC Freiburg,2,0,1,9
Xabi Alonso,Spain,Bayern Munich,12,0,32,9
Yeni N'Gbakoto,DR Congo,Panathinaikos Athens,2,0,8,9
Yerry Mina,Colombia,Everton FC,2,0,17,9
Youssouph Badji,Senegal,RSC Charleroi,1,0,3,9
Yunis Abdelhamid,Morocco,Stade Reims,2,2,20,9
Yves Bissouma,Mali,Tottenham Hotspur,4,2,37,9
Ã„nis Ben-Hatira,Tunisia,AE Larisa,7,0,9,8
Ã‰dgar Barreto,Paraguay,NEC Nijmegen,9,1,28,8
Ã‰rick Moreno,Colombia,CD Tondela,2,0,4,8
Ãlex Moreno,Spain,Aston Villa,21,1,24,8
Aderllan Santos,Brazil,Rio Ave FC,0,1,31,8
Ahmad Benali,Libya,FC Crotone,4,1,9,8
Aias Aosman,Syria,Ionikos Nikeas,9,0,11,8
Aleix GarcÃ­a,Spain,Girona FC,5,0,6,8
Aleksandar Boljevic,Montenegro,Standard LiÃ¨ge,14,0,14,8
Aleksandar Stanisavljevic,Serbia,Asteras Tripolis,2,0,11,8
Aleksandar Trajkovski,North Macedonia,Aalborg BK,8,0,6,8
Aleksandr Ryazantsev,Russia,Torpedo Moscow,8,0,3,8
Aleksandr Sapeta,Russia,FC Pari Nizhniy Novgorod,8,1,11,8
Alexander BÃ¼ttner,Netherlands,RKC Waalwijk,20,1,34,8
Alexander Hack,Germany,1.FSV Mainz 05,3,2,20,8
Alexis De Sart,Belgium,Royal Antwerp FC,9,0,13,8
Alfredo Donnarumma,Italy,Brescia Calcio,2,0,1,8
Amar Rahmanovic,Bosnia-Herzegovina,Konyaspor,7,1,19,8
Ambrosiy Chachua,Ukraine,Karpaty Lviv (-2021),0,0,14,8
Anass Achahbar,Netherlands,PEC Zwolle,3,0,0,8
Anderson Carvalho,Brazil,CD Santa Clara,8,0,41,8
AndrÃ© Almeida,Portugal,SL Benfica,31,1,49,8
Andreas MaxsÃ¶,Denmark,BrÃ¶ndby IF,3,1,29,8
Andriy Bogdanov,Ukraine,Kolos Kovalivka,15,0,38,8
Angel Gomes,England,LOSC Lille,8,0,13,8
Anthony Gordon,England,Everton FC,5,0,14,8
Anton Shvets,Russia,Akhmat Grozny,1,2,39,8
Arda GÃ¼ler,Turkey,Fenerbahce,8,0,3,8
Bartosz Bialek,Poland,VfL Wolfsburg,2,0,3,8
Ben Sahar,Israel,Willem II Tilburg,4,0,2,8
Benjamin Henrichs,Germany,RB Leipzig,16,1,34,8
Berkan Emir,Turkey,GÃ¶ztepe,24,0,30,8
Brandon Mechele,Belgium,Club Brugge KV,6,0,23,8
Bruno Gallo,Brazil,GD Chaves,2,1,14,8
Calum Chambers,England,Aston Villa,8,0,35,8
Carlos Strandberg,Sweden,KVC Westerlo,2,0,3,8
Carlton Morris,England,Norwich City,2,0,10,8
Casper HÃ¶jer,Denmark,Aarhus GF,14,0,18,8
Chadrac Akolo,DR Congo,Amiens SC,4,0,3,8
Chancel Mbemba,DR Congo,Olympique Marseille,1,1,29,8
Charalampos Lykogiannis,Greece,Bologna FC 1909,9,0,33,8
Charlison Benschop,Curacao,Fortuna Sittard,3,0,4,8
Chris FÃ¼hrich,Germany,VfB Stuttgart,6,0,5,8
Christian Cappis,United States,BrÃ¶ndby IF,5,0,15,8
Christos Eleftheriadis,Greece,Ionikos Nikeas,2,1,6,8
Damjan Djokovic,Croatia,Adana Demirspor,4,1,18,8
Dan Crowley,England,Willem II Tilburg,13,0,9,8
Dango Ouattara,Burkina Faso,AFC Bournemouth,11,0,8,8
Dani GÃ³mez,Spain,RCD Espanyol Barcelona,5,1,6,8
Dani Nieto,Spain,AO Xanthi,7,0,9,8
Dani RodrÃ­guez,Spain,RCD Mallorca,9,0,14,8
Daniel CongrÃ©,France,Montpellier HSC,3,3,25,8
Daniel Osvaldo,Italy,FC Porto,6,1,2,8
Daniil Khlusevich,Russia,Spartak Moscow,13,0,23,8
DarÃ­o Lezcano,Paraguay,FC Ingolstadt 04,5,0,8,8
Daryl Janmaat,Netherlands,ADO Den Haag,14,0,25,8
David Brooks,Wales,AFC Bournemouth,5,0,5,8
Denis Popovic,Slovenia,Krylya Sovetov Samara,7,0,12,8
Denis Tkachuk,Russia,FC Pari Nizhniy Novgorod,10,0,8,8
Deroy Duarte,Cape Verde,Fortuna Sittard,8,0,10,8
Destiny Udogie,Italy,Udinese Calcio,7,0,10,8
Diego Rigonato,Brazil,Stade Reims,10,0,7,8
Dimitri Mohamed,France,Royal Excel Mouscron (-2022),5,0,11,8
Dimitrios Kourbelis,Greece,Panathinaikos Athens,7,1,65,8
Dino Arslanagic,Belgium,GÃ¶ztepe,1,3,34,8
Djibril Sow,Switzerland,Eintracht Frankfurt,13,0,29,8
Dmitriy Barinov,Russia,Lokomotiv Moscow,13,1,72,8
Dmitriy Skopintsev,Russia,Dynamo Moscow,12,1,27,8
Dmytro Myshnyov,Ukraine,Zorya Lugansk,13,0,24,8
Dorgeles Nene,Mali,KVC Westerlo,4,1,3,8
Duckens Nazon,Haiti,Sint-Truidense VV,2,1,3,8
Dusko Tosic,Serbia,Kasimpasa,3,1,33,8
Eduard LÃ¶wen,Germany,VfL Bochum,8,0,3,8
Egor Golenkov,Russia,FK Rostov,4,0,10,8
Elimane Coulibaly,Senegal,Royal Excel Mouscron (-2022),4,1,4,8
Emerson Royal,Brazil,Tottenham Hotspur,12,2,29,8
Engin Bekdemir,Turkey,Caykur Rizespor,6,0,3,8
Enzo Roco,Chile,Elche CF,3,1,43,8
Ernesto Torregrossa,Venezuela,UC Sampdoria,4,0,8,8
Exequiel Palacios,Argentina,Bayer 04 Leverkusen,5,0,13,8
Ezequiel Garay,Argentina,Valencia CF,4,1,28,8
Facundo Parra,Argentina,Asteras Tripolis,3,0,3,8
Farouk Miya,Uganda,PFK Lviv,4,0,7,8
Fatos Beqiraj,Montenegro,KV Mechelen,4,1,4,8
Federico Viviani,Italy,Frosinone Calcio,10,1,21,8
Felipe Gedoz,Brazil,Club Brugge KV,13,0,9,8
Felix Klaus,Germany,VfL Wolfsburg,13,1,12,8
Florent Hadergjonaj,Kosovo,Kasimpasa,11,1,26,8
Florian Jozefzoon,Suriname,RKC Waalwijk,6,0,5,8
Frederik Tingager,Denmark,Aarhus GF,1,1,12,8
Fredy GuarÃ­n,Colombia,Inter Milan,10,0,14,8
Gareth McAuley,Northern Ireland,Rangers FC,1,2,12,8
Gary Harkins,Scotland,Dundee FC,17,1,10,8
Gedson Fernandes,Portugal,Besiktas JK,18,0,21,8
Genki Haraguchi,Japan,VfB Stuttgart,23,1,16,8
George Oakley,England,Kilmarnock FC,3,0,7,8
Georgi Peev,Bulgaria,Amkar Perm,4,1,5,8
Georgios Kyriakopoulos,Greece,Bologna FC 1909,15,1,31,8
Giannis Kargas,Greece,PAOK Thessaloniki,1,0,33,8
Giannis Skondras,Greece,PAS Lamia 1964,11,3,44,8
Gilberto,Brazil,SL Benfica,8,0,16,8
Giorgio Chiellini,Italy,Juventus FC,8,0,43,8
Giovanni Korte,Netherlands,NAC Breda,4,0,5,8
Glen Kamara,Finland,Rangers FC,12,0,21,8
Godfred Donsah,Ghana,Yeni Malatyaspor,6,0,17,8
Guus Hupperts,Netherlands,VVV-Venlo,12,0,10,8
Hadi Sacko,Mali,Denizlispor,5,0,9,8
Harry Wilson,Wales,Fulham FC,3,0,4,8
Havard Nordtveit,Norway,TSG 1899 Hoffenheim,6,1,20,8
Hendrik Weydandt,Germany,Hannover 96,1,0,1,8
Hildeberto,Cape Verde,VitÃ³ria SetÃºbal FC,2,0,12,8
Ibrahim Afellay,Netherlands,PSV Eindhoven,7,1,11,8
Ibrahim Kane,Mali,Vorskla Poltava,6,1,16,8
Igor Angulo,Spain,AO Platanias,3,0,3,8
Ikechukwu Uche,Nigeria,MÃ¡laga CF,1,0,3,8
Ilya Maksimov,Russia,Arsenal Tula,3,0,8,8
In-beom Hwang,"Korea, South",Olympiacos Piraeus,8,0,9,8
Issiar Dia,Senegal,Yeni Malatyaspor,4,0,3,8
Iury Castilho,Brazil,Portimonense SC,1,0,8,8
Ivan Matyazh,Ukraine,Chornomorets Odessa,2,0,5,8
Ivica Olic,Croatia,Hamburger SV,3,0,3,8
JÃ¡n Gregus,Slovakia,FC Copenhagen,6,0,14,8
Jacob Bruun Larsen,Denmark,TSG 1899 Hoffenheim,7,0,2,8
Jakob Johansson,Denmark,FC Nordsjaelland,7,0,8,8
Jakob Johansson,Sweden,Stade Rennais FC,7,0,8,8
James Tarkowski,England,Everton FC,6,0,50,8
Jan Kliment,Czech Republic,BrÃ¶ndby IF,5,1,7,8
Jan Vertonghen,Belgium,SL Benfica,7,0,46,8
Jarchinio Antonia,Curacao,Go Ahead Eagles,17,1,6,8
Javier Matilla,Spain,Volos NPS,9,1,21,8
Javier Mendoza,Argentina,Ionikos Nikeas,5,0,10,8
Jeffrey Sarpong,Netherlands,AO Xanthi,12,0,4,8
Jeffry Fortes,Cape Verde,Sparta Rotterdam,5,1,24,8
Jeppe Simonsen,Haiti,SÃ¶nderjyskE,8,0,10,8
Jerson Cabral,Cape Verde,Ionikos Nikeas,10,0,8,8
Jessic Ngankam,Germany,Hertha BSC,4,0,6,8
JoÃ£o Camacho,Portugal,CD Nacional,4,0,6,8
JoÃ£o Teixeira,Portugal,GD Chaves,7,2,14,8
Joachim Andersen,Denmark,Crystal Palace,6,1,39,8
Joachim Van Damme,Belgium,KV Mechelen,4,0,32,8
Joel Fameyeh,Ghana,FK Orenburg,0,0,5,8
Jonathan Clauss,France,Olympique Marseille,17,0,5,8
Jonathan Tah,Germany,Bayer 04 Leverkusen,11,2,33,8
Jorge DÃ­az,Uruguay,Panetolikos GFS,8,1,32,8
Jorge de Frutos,Spain,Levante UD,19,0,7,8
Jorge Teixeira,Portugal,Sint-Truidense VV,2,2,28,8
Jorginho,Guinea-Bissau,AS Saint-Ã‰tienne,5,0,4,8
Jorginho,Portugal,VitÃ³ria GuimarÃ£es SC,5,0,4,8
JosÃ© Crespo,Spain,PAOK Thessaloniki,8,0,46,8
Josip Misic,Croatia,PAOK Thessaloniki,12,1,12,8
Juanto OrtuÃ±o,Spain,CF Os Belenenses,3,0,8,8
Julian Kristoffersen,Norway,US Salernitana 1919,3,0,1,8
Junior Kabananga,DR Congo,Cercle Brugge,3,0,7,8
KÃ©vin Zohi,Mali,FC Vizela,7,0,4,8
Kamal Sowah,Ghana,Club Brugge KV,8,0,4,8
Karlo Bartolec,Croatia,FC Copenhagen,18,0,19,8
Kenan Bargan,Greece,AE Larisa,5,0,10,8
Kevin Vermeulen,Netherlands,RKC Waalwijk,9,0,12,8
Kike Barja,Spain,CA Osasuna,5,0,4,8
Konstantinos Mavropanos,Greece,VfB Stuttgart,2,1,16,8
Kristof D'Haene,Belgium,KV Kortrijk,22,1,39,8
Kristoffer Ajer,Norway,Brentford FC,6,1,23,8
Kwasi Wriedt,Ghana,Willem II Tilburg,2,1,1,8
Kyriakos Papadopoulos,Greece,PAS Lamia 1964,2,1,39,8
LÃ©o Dubois,France,Galatasaray,27,0,30,8
Leke James,Nigeria,Sivasspor,0,0,1,8
Luca Antonelli,Italy,FC Empoli,6,0,14,8
Lucas Evangelista,Brazil,VitÃ³ria GuimarÃ£es SC,8,0,9,8
Lucas Lima,Brazil,Basaksehir FK,18,0,29,8
Maikel van der Werff,Netherlands,PEC Zwolle,7,1,20,8
Manu GarcÃ­a,Spain,Deportivo AlavÃ©s,5,0,41,8
Manuel Lazzari,Italy,SS Lazio,24,1,35,8
Marco FabiÃ¡n,Mexico,Eintracht Frankfurt,7,0,15,8
Marcos AndrÃ©,Brazil,Valencia CF,5,1,9,8
Marcos Senesi,Argentina,AFC Bournemouth,8,0,15,8
Mario Engels,Germany,Sparta Rotterdam,10,0,9,8
Marius Noubissi,Cameroon,Beerschot V.A.,3,1,2,8
Marvin Friedrich,Germany,Borussia MÃ¶nchengladbach,3,0,22,8
Masoud Shojaei,Iran,AEK Athens,10,0,20,8
Matheus Nunes,Portugal,Sporting CP,9,0,21,8
Mattheus,Brazil,Sporting CP,13,0,16,8
Max Fenger,Denmark,Odense Boldklub,2,0,1,8
Maxim De Cuyper,Belgium,KVC Westerlo,6,0,5,8
Medhi Benatia,Morocco,Fatih KaragÃ¼mrÃ¼k,3,1,29,8
Mehdi Bourabia,Morocco,Spezia Calcio,6,0,33,8
Mehmet AkyÃ¼z,Turkey,Denizlispor,2,0,3,8
Mehrdad Mohammadi,Iran,Desportivo Aves (- 2020),6,0,2,8
MickaÃ«l Antoine-Curier,Guadeloupe,Hamilton Academical FC,5,0,1,8
Miha Mevlja,Slovenia,Alanyaspor,2,1,14,8
Mike Frantz,Germany,SC Freiburg,6,0,9,8
Milan van Ewijk,Netherlands,SC Heerenveen,7,0,11,8
Milhazes,Portugal,APO Levadiakos,9,0,20,8
Milson,Angola,MKE AnkaragÃ¼cÃ¼,7,0,11,8
Mitchel Paulissen,Netherlands,SC Cambuur Leeuwarden,8,1,6,8
Mladen Bartulovic,Croatia,Ingulets Petrove,7,2,20,8
Mohamed Larbi,Tunisia,GFC Ajaccio,3,0,0,8
Mounir Chouiar,France,Kasimpasa,11,0,13,8
Moustapha Sall,Senegal,Royal Antwerp FC,0,0,26,8
Mykola Matvienko,Ukraine,Shakhtar Donetsk,13,0,13,8
Nathan Dyer,England,Swansea City,4,0,7,8
NenÃª,Brazil,Moreirense FC,1,0,9,8
Nicki Bille Nielsen,Denmark,Panionios Athens,3,0,9,8
Nicolao Cardoso,Italy,SSC Napoli,4,0,2,8
Nicolas HÃ¶fler,Germany,SC Freiburg,16,0,51,8
Niklas Stark,Germany,SV Werder Bremen,3,0,40,8
Nikolaos Tsoukalos,Greece,PAS Lamia 1964,3,0,7,8
Nuno Tavares,Portugal,Olympique Marseille,6,1,14,8
Ognjen Ozegovic,Serbia,Volos NPS,2,0,7,8
Okacha Hamzaoui,Algeria,CD Nacional,1,0,8,8
Oleg Vyshnevskyi,Ukraine,FK Minaj,3,0,2,8
Oleksandr Andriyevskyi,Ukraine,Dynamo Kyiv,8,1,22,8
Olivier Myny,Belgium,Oud-Heverlee Leuven,4,0,12,8
Omar Govea,Mexico,SV Zulte Waregem,13,1,18,8
Ondrej Vanek,Czech Republic,FK Ufa,3,0,8,8
Orest Kuzyk,Ukraine,Chornomorets Odessa,4,0,7,8
Othmane Boussaid,Belgium,FC Utrecht,15,0,9,8
Pablo,Brazil,Lokomotiv Moscow,6,3,19,8
Paul Anton,Romania,Krylya Sovetov Samara,5,0,8,8
Paul McGinn,Scotland,Motherwell FC,20,1,43,8
Paul Mukairu,Nigeria,Antalyaspor,5,0,9,8
Peter Olayinka,Nigeria,SV Zulte Waregem,5,1,6,8
Pietro Iemmello,Italy,US Sassuolo,1,0,1,8
Pol Lirola,Spain,Elche CF,18,0,20,8
RaÃºl Albentosa,Spain,Vejle Boldklub,4,1,33,8
Rafael Forster,Brazil,Zorya Lugansk,1,0,8,8
Ragnar Ache,Germany,Eintracht Frankfurt,5,0,2,8
Raheem Lawal,Nigeria,Ankaraspor,8,1,24,8
RÃºben Micael,Portugal,CD Nacional,5,1,23,8
Rey Manaj,Albania,Spezia Calcio,0,0,13,8
Rezan Corlu,Denmark,Lyngby BK,8,0,6,8
Ricardinho,Brazil,FC Tosno (-2018),7,1,9,8
Ricardinho,Portugal,CD Santa Clara,7,1,9,8
Ricardo Kishna,Netherlands,ADO Den Haag,15,0,4,8
Riccardo Sottil,Italy,ACF Fiorentina,8,0,12,8
Robbie Haemhouts,Belgium,NAC Breda,4,0,3,8
Robbie Muirhead,Scotland,Heart of Midlothian FC,6,0,5,8
Rober IbÃ¡Ã±ez,Spain,CA Osasuna,4,0,8,8
Roberts Uldrikis,Latvia,SC Cambuur Leeuwarden,2,0,7,8
Rogelio Funes Mori,Mexico,Eskisehirspor,7,0,11,8
Roger IbaÃ±ez,Brazil,AS Roma,2,0,37,8
Roni,Brazil,CF Os Belenenses,2,0,10,8
Roque Santa Cruz,Paraguay,MÃ¡laga CF,1,0,0,8
Roy Beerens,Netherlands,Vitesse Arnhem,10,0,5,8
Rui Pedro,Portugal,AcadÃ©mica Coimbra,5,0,8,8
Ryan Edwards,Australia,Heart of Midlothian FC,3,0,19,8
Ryan Edwards,England,Dundee United FC,3,0,19,8
Ryan Hardie,Scotland,Livingston FC,0,0,1,8
Ryan Stevenson,Scotland,Partick Thistle FC,4,0,4,8
SÃ¶ren Frederiksen,Denmark,SÃ¶nderjyskE,3,0,6,8
SÃ¶ren Tengstedt,Denmark,Silkeborg IF,3,0,1,8
SaÃºl BerjÃ³n,Spain,SD Eibar,13,0,5,8
Sabin Merino,Spain,CD LeganÃ©s,3,0,6,8
Sam Nicholson,Scotland,Heart of Midlothian FC,7,1,5,8
Samed Yesil,Germany,Panionios Athens,1,0,7,8
Samir Memisevic,Bosnia-Herzegovina,FC Groningen,2,1,15,8
Samuel Di Carmine,Italy,US Cremonese,1,0,5,8
Sander Berge,Norway,Sheffield United,6,0,12,8
Sandro Tonali,Italy,AC Milan,20,1,34,8
Sandy Walsh,Indonesia,KV Mechelen,16,2,27,8
Sergio Camello,Spain,Rayo Vallecano,5,0,2,8
Sergiy Rybalka,Ukraine,FK Oleksandriya,14,0,42,8
Simon Tibbling,Sweden,Randers FC,15,0,29,8
Sinan Kaloglu,Turkey,Mersin Talimyurdu SK,2,0,0,8
Souleymane Coulibaly,Cote d'Ivoire,Kilmarnock FC,1,0,1,8
Steeven Langil,Martinique,SK Beveren,11,0,10,8
Stefano Denswil,Suriname,Trabzonspor,6,1,43,8
Stelios Kitsiou,Greece,Gaziantep FK,26,1,67,8
Steven Anderson,Scotland,St. Johnstone FC,2,0,24,8
Steven Caulker,Sierra Leone,Fatih KaragÃ¼mrÃ¼k,10,0,9,8
Stewart Downing,England,Middlesbrough FC,11,0,5,8
Stijn Spierings,Netherlands,FC Toulouse,13,2,17,8
Sylvain Marveaux,France,FC Lorient,11,0,2,8
Thomas Murg,Austria,PAOK Thessaloniki,5,0,7,8
Tiago Rodrigues,Portugal,FK Ufa,11,1,12,8
Timmy Simons,Belgium,Club Brugge KV,6,0,10,8
Tino-Sven Susic,Bosnia-Herzegovina,VVV-Venlo,6,0,6,8
Tom Cleverley,England,Watford FC,13,0,22,8
TomÃ¡s Pina,Spain,Deportivo AlavÃ©s,7,3,63,8
Tomasz Kedziora,Poland,PAOK Thessaloniki,12,0,28,8
Trent Sainsbury,Australia,KV Kortrijk,1,1,20,8
Ulrik YttergÃ¥rd Jenssen,Norway,FC Nordsjaelland,2,1,25,8
VÃ­ctor RodrÃ­guez,Spain,Elche CF,6,0,8,8
Vagner,Brazil,Boavista FC,2,0,9,8
Vagner,Cape Verde,RFC Seraing,2,0,9,8
Vincent Kompany,Belgium,RSC Anderlecht,2,0,33,8
Vladislav Kamilov,Russia,Akhmat Grozny,4,0,19,8
Volodymyr Chesnakov,Ukraine,Vorskla Poltava,4,0,41,8
Welinton,Brazil,Besiktas JK,2,2,50,8
Willum ThÃ³r Willumsson,Iceland,Go Ahead Eagles,3,0,1,8
Willy Boly,Cote d'Ivoire,Nottingham Forest,3,2,20,8
Yegor Nazaryna,Ukraine,Shakhtar Donetsk,6,1,20,8
Younes Bakiz,Denmark,Aalborg BK,2,0,6,8
Youssef Maziz,France,RFC Seraing,9,0,5,8
Ãlvaro Vieira,Brazil,PFK Lviv,6,0,14,7
Aaron Doran,Ireland,Inverness Caledonian Thistle FC,4,0,3,7
Abde Ezzalzouli,Morocco,CA Osasuna,2,1,8,7
Adam Hlozek,Czech Republic,Bayer 04 Leverkusen,6,0,2,7
Adolfo Gaich,Argentina,Hellas Verona,4,0,8,7
Adriano,Brazil,KAS Eupen,19,0,28,7
AJ Leitch-Smith,England,Dundee FC,5,0,1,7
Alan,Brazil,SC Braga,10,0,7,7
Alan Pulido,Mexico,Olympiacos Piraeus,3,0,0,7
Alban Meha,Kosovo,Konyaspor,5,0,8,7
Alberto Aquilani,Italy,UD Las Palmas,1,0,20,7
Alejandro RodrÃ­guez,Spain,Chievo Verona,1,0,3,7
Aleksandar Katai,Serbia,Deportivo AlavÃ©s,5,1,7,7
Aleksandr Yushin,Russia,Ural Yekaterinburg,4,0,4,7
Aleksey Kashtanov,Russia,Ural Yekaterinburg,10,0,8,7
Aleksey Pugin,Russia,Tom Tomsk,3,1,2,7
Alessandro Deiola,Italy,Cagliari Calcio,3,0,22,7
Alessio Da Cruz,Cape Verde,KV Mechelen,5,1,9,7
Alexandre D'Acol,Brazil,PAS Lamia 1964,2,0,0,7
Alexandre Pato,Brazil,Villarreal CF,5,0,0,7
Alieu Fadera,The Gambia,SV Zulte Waregem,7,0,11,7
Almog Cohen,Israel,FC Ingolstadt 04,3,0,4,7
Anders Egholm,Denmark,SÃ¶nderjyskE,1,0,6,7
AndrÃ© Riel,Denmark,Lyngby BK,1,0,2,7
AndrÃ©s Iniesta,Spain,FC Barcelona,19,0,18,7
Andrea Rispoli,Italy,FC Crotone,8,0,23,7
Andreas Albers,Denmark,Silkeborg IF,1,0,1,7
Andreas Voglsammer,Germany,1.FC Union Berlin,4,0,2,7
Andrey Galabinov,Bulgaria,Spezia Calcio,4,0,3,7
Andriy Gitchenko,Ukraine,Desna Chernigiv,2,1,30,7
Anis Slimane,Tunisia,BrÃ¶ndby IF,7,0,12,7
Ante Kulusic,Croatia,MKE AnkaragÃ¼cÃ¼,1,0,38,7
Antonio Cassano,Italy,UC Sampdoria,7,0,2,7
Antonio Milic,Croatia,RSC Anderlecht,2,0,19,7
Arbnor Mucolli,Albania,Vejle Boldklub,5,0,19,7
Argyris Kampetsis,Greece,Panathinaikos Athens,4,0,1,7
Arne Maier,Germany,FC Augsburg,11,0,7,7
Artem Chorniy,Ukraine,Chornomorets Odessa,6,0,15,7
Arthur Gomes,Brazil,Sporting CP,9,0,6,7
Aster Vranckx,Belgium,AC Milan,4,1,9,7
AurÃ©lien TchouamÃ©ni,France,Real Madrid,11,0,36,7
Baptiste Santamaria,France,Stade Rennais FC,4,0,27,7
Bart van Hintum,Netherlands,FC Groningen,20,0,30,7
Bassala Sambou,Germany,Fortuna Sittard,3,0,6,7
Batuhan Karadeniz,Turkey,Sivasspor,4,0,3,7
Ben Davies,Wales,Tottenham Hotspur,22,0,41,7
Berat Djimsiti,Albania,Atalanta BC,8,0,35,7
Braga,Portugal,Desportivo Aves (- 2020),5,0,19,7
Brahim Darri,Netherlands,Fatih KaragÃ¼mrÃ¼k,13,0,7,7
Brecht Capon,Belgium,KV Oostende,8,2,17,7
Bruno Alves,Portugal,Apollon Smyrnis,4,3,48,7
Bruno LourenÃ§o,Portugal,Boavista FC,5,0,16,7
Bruno Rodrigues,Brazil,FC FamalicÃ£o,4,0,3,7
Bruno Rodrigues,Portugal,Fatih KaragÃ¼mrÃ¼k,4,0,3,7
Bruno Viana,Brazil,FK Khimki,4,2,22,7
Bryan Gil,Spain,Tottenham Hotspur,8,0,15,7
CÃ©dric YambÃ©rÃ©,Central African Republic,Dijon FCO,0,2,27,7
Camillo Ciano,Italy,Frosinone Calcio,5,0,13,7
Carlo Holse,Denmark,FC Copenhagen,6,0,1,7
Cenk Ahmet Alkilic,Turkey,Erzurumspor FK,10,0,12,7
Ceyhun GÃ¼lselam,Turkey,Altay SK,15,1,73,7
Christopher Maboulou,Congo,PAS Giannina,4,0,1,7
Christopher Routis,Switzerland,Ross County FC,6,0,11,7
Christos Tzanis,Greece,Panthrakikos Komotini,2,0,4,7
Claudemir,Brazil,FC Vizela,18,0,35,7
Claudio Marchisio,Italy,Zenit St. Petersburg,15,0,29,7
Conor Coady,England,Everton FC,1,0,24,7
Cristian Romero,Argentina,Tottenham Hotspur,8,1,53,7
Cryzan,Brazil,CD Santa Clara,8,0,6,7
Daishawn Redan,Suriname,FC Utrecht,3,0,4,7
Damien Le Tallec,France,Torpedo Moscow,1,1,27,7
Damil Dankerlui,Suriname,FC Groningen,16,1,12,7
Dani Raba,Spain,Granada CF,8,1,7,7
Daniel Schwaab,Germany,PSV Eindhoven,7,0,13,7
Danijel Miskic,Croatia,Ural Yekaterinburg,11,0,35,7
Danilo Dias,Brazil,CF UniÃ£o Madeira (-2021),4,0,4,7
Danny Bakker,Netherlands,ADO Den Haag,6,0,25,7
Danny Latza,Germany,FC Schalke 04,13,1,44,7
Danny Namaso,England,FC Porto,5,0,2,7
Danny Rose,England,Watford FC,18,0,48,7
Dante,Brazil,OGC Nice,7,2,62,7
Dario Dumic,Bosnia-Herzegovina,Twente Enschede FC,7,1,16,7
Darko Bodul,Austria,Enisey Krasnoyarsk,10,0,9,7
Darren Fletcher,Scotland,Stoke City,8,0,6,7
David Amoo,England,Partick Thistle FC,7,0,4,7
David LombÃ¡n,Spain,SD Eibar,0,0,26,7
David Milinkovic,France,Genoa CFC,5,0,3,7
David Timor,Spain,Getafe CF,2,2,29,7
Denys Popov,Ukraine,Dynamo Kyiv,0,0,18,7
