player_name,country_of_citizenship_x,current_club_name,Total Assist,Total Red Card,Total Yellow Card,Total Goals
Aritz Aduriz,Spain,Athletic Bilbao,26,0,57,109
Lorenzo Insigne,Italy,SSC Napoli,75,2,28,109
Domenico Berardi,Italy,US Sassuolo,78,5,70,106
Quincy Promes,Netherlands,Spartak Moscow,52,0,33,106
Ricardo Horta,Portugal,SC Braga,55,0,29,106
KÃ©vin Gameiro,France,RC Strasbourg Alsace,35,0,8,105
Luis Muriel,Colombia,Atalanta BC,48,1,21,105
Sardar Azmoun,Iran,Bayer 04 Leverkusen,43,2,44,103
Carlos Bacca,Colombia,Granada CF,32,0,28,102
Kevin Volland,Germany,AS Monaco,72,1,52,102
Serge Gnabry,Germany,Bayern Munich,55,0,10,102
AndrÃ© Silva,Brazil,VitÃ³ria GuimarÃ£es SC,38,0,17,100
AndrÃ© Silva,Portugal,RB Leipzig,38,0,17,100
Vincent Aboubakar,Cameroon,Besiktas JK,25,1,22,100
Hakim Ziyech,Morocco,Chelsea FC,116,0,40,99
Moussa DembÃ©lÃ©,France,Olympique Lyon,30,0,21,98
Youssef El Arabi,Morocco,Olympiacos Piraeus,21,1,15,98
Davy Klaassen,Netherlands,Ajax Amsterdam,59,0,52,97
Bryan Linssen,Netherlands,Feyenoord Rotterdam,47,1,43,96
Gareth Bale,Wales,Real Madrid,46,1,26,96
Radamel Falcao,Colombia,Rayo Vallecano,22,0,28,96
Lars Stindl,Germany,Borussia MÃ¶nchengladbach,63,0,71,94
JÃºnior Moraes,Ukraine,Shakhtar Donetsk,27,2,31,93
Kevin De Bruyne,Belgium,Manchester City,142,0,37,93
Odsonne Edouard,France,Crystal Palace,37,0,18,93
Hans Vanaken,Belgium,Club Brugge KV,64,2,35,92
Nicolai JÃ¶rgensen,Denmark,FC Copenhagen,30,1,16,92
Paulinho,Brazil,FC Barcelona,44,0,41,92
Paulinho,Portugal,Sporting CP,44,0,41,92
Josip Ilicic,Slovenia,Atalanta BC,57,2,31,91
Klaas-Jan Huntelaar,Netherlands,Ajax Amsterdam,28,1,26,91
Mehdi Taremi,Iran,FC Porto,48,3,22,91
Paco AlcÃ¡cer,Spain,Villarreal CF,37,1,9,91
Max Kruse,Germany,VfL Wolfsburg,72,0,10,90
Tom van Weert,Netherlands,AEK Athens,19,1,27,90
Moussa Marega,Mali,FC Porto,45,1,31,89
Jonathan David,Canada,LOSC Lille,23,0,16,88
Willian JosÃ©,Brazil,Real Betis BalompiÃ©,23,1,30,88
Kamil Wilczek,Poland,FC Copenhagen,24,1,22,87
Leroy SanÃ©,Germany,Bayern Munich,84,0,27,87
Marcus Berg,Sweden,FK Krasnodar,25,1,33,87
